artist,song,duration_ms,duration_min,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,primary_genre,secondary_genre,tertiary_genre,
Jason Derulo,Talk Dirty (feat. 2 Chainz),177685,2.96,TRUE,2013,56,0.76,0.652,6,-7.321,major,0.232,0.0348,0,0.307,0.759,100.315,hip hop, pop,,
John Newman,Love Me Again,239894,4.00,FALSE,2013,74,0.495,0.894,2,-4.814,minor,0.0441,0.00453,0.000596,0.103,0.213,126.03,pop,,,
Britney Spears,Work B**ch,247853,4.13,TRUE,2013,0,0.63,0.816,9,-6.535,major,0.15,0.124,0.00111,0.0616,0.85,128.012,pop,,,
The Neighbourhood,Sweater Weather,240400,4.01,FALSE,2013,89,0.612,0.807,10,-2.81,major,0.0336,0.0495,0.0177,0.101,0.398,124.053,rock, pop,,
Sebastian Ingrosso,Reload - Radio Edit,221272,3.69,FALSE,2013,68,0.485,0.724,9,-4.633,minor,0.0521,0.0736,0,0.0631,0.433,128.045,pop, dance/electronic,,
Capital Cities,Safe And Sound,192693,3.21,FALSE,2013,0,0.652,0.783,0,-4.829,major,0.0309,0.000189,0.0173,0.0889,0.836,117.952,pop,,,
Demi Lovato,Heart Attack,210840,3.51,FALSE,2013,79,0.504,0.785,8,-4.802,major,0.104,0.0738,0,0.239,0.502,173.968,pop,,,
Arctic Monkeys,Why'd You Only Call Me When You're High?,161123,2.69,FALSE,2013,84,0.691,0.631,2,-6.478,major,0.0368,0.0483,1.13E-05,0.104,0.8,92.004,rock,,,
Justin Bieber,Beauty And A Beat,227986,3.80,FALSE,2012,73,0.602,0.843,0,-4.831,major,0.0593,0.000688,5.27E-05,0.0682,0.526,128.003,pop,,,
Eminem,The Monster,250188,4.17,TRUE,2013,75,0.781,0.853,1,-3.68,minor,0.0715,0.0525,0,0.12,0.624,110.049,hip hop,,,
Pitbull,Don't Stop the Party (feat. TJR),206120,3.44,FALSE,2012,64,0.722,0.958,4,-3.617,major,0.0912,0.00726,0,0.375,0.952,127.008,hip hop, pop, latin,
Selena Gomez,Come & Get It,231986,3.87,FALSE,2013,69,0.546,0.787,7,-4.1,minor,0.0517,0.0101,0.00021,0.0809,0.573,79.979,pop,,,
P!nk,True Love (feat. Lily Allen),230733,3.85,TRUE,2012,71,0.457,0.823,9,-4.76,major,0.311,0.00144,0,0.108,0.578,192.205,pop,,,
Disclosure,White Noise,277687,4.63,FALSE,2013,54,0.665,0.844,10,-6.164,minor,0.0501,0.00963,0.000215,0.311,0.902,119.978,pop, dance/electronic,,
Flo Rida,I Cry,223800,3.73,FALSE,2012,60,0.693,0.822,4,-5.441,minor,0.0439,0.00616,1.79E-06,0.315,0.763,126.035,hip hop, pop,,
Kanye West,Black Skinhead,188013,3.13,TRUE,2013,0,0.578,0.825,1,-6.107,major,0.322,0.000986,0,0.176,0.283,130.089,hip hop,,,
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,214912,3.58,FALSE,2013,72,0.572,0.81,1,-5.791,minor,0.0558,0.0157,6.53E-06,0.13,0.11,126.052,pop,,,
Eminem,Berzerk,238746,3.98,TRUE,2013,66,0.739,0.872,11,-4.059,minor,0.333,0.0217,0,0.26,0.684,95.084,hip hop,,,
Icona Pop,I Love It (feat. Charli XCX),157152,2.62,TRUE,2013,68,0.711,0.906,8,-2.671,major,0.0284,0.00952,1.64E-05,0.153,0.824,125.916,pop, dance/electronic,,
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),186826,3.11,FALSE,2013,71,0.558,0.924,9,-4.341,minor,0.064,0.0271,3.32E-06,0.537,0.567,151.99,rock,,,
Lorde,Team,193058,3.22,FALSE,2013,0,0.691,0.582,6,-7.444,major,0.0939,0.162,0,0.247,0.427,100.05,pop, dance/electronic,,
